tileswide 32
tileshigh 32
tilewidth 32
tileheight 32

layer 0
23,9,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,9,9,9,9,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,18,11,12,23,23,23,23,23,9,9,9,9,9,23,23,9,23,23,23,23,23,
23,23,23,23,23,23,18,11,11,11,11,22,10,13,23,23,23,23,23,9,9,9,9,9,9,23,23,23,23,23,23,23,
11,11,11,11,11,11,22,10,10,10,10,10,10,13,23,23,23,23,23,23,8,0,0,1,9,23,23,23,23,23,23,23,
10,10,10,10,10,10,10,10,10,20,15,15,21,19,12,23,23,23,23,23,6,0,0,0,2,23,9,23,24,23,23,23,
10,10,10,10,10,10,10,10,10,13,9,9,17,10,13,23,23,23,23,9,9,5,5,0,0,3,23,23,23,23,23,23,
10,10,10,10,20,15,15,15,15,14,23,23,17,10,13,23,23,23,23,9,9,9,9,5,5,4,23,23,23,23,23,23,
15,15,15,15,14,23,23,23,23,23,23,23,17,10,13,23,23,23,9,9,9,9,9,9,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,9,9,17,10,13,23,23,24,23,9,9,1,1,2,23,23,23,23,23,23,23,23,
9,9,9,9,9,9,9,9,9,9,9,9,17,10,13,9,9,9,9,9,8,0,0,3,23,23,23,24,23,23,23,23,
9,9,9,9,9,9,9,24,9,23,9,23,17,10,13,9,9,24,9,9,7,0,0,3,23,23,23,23,23,23,23,23,
9,1,1,1,2,9,9,23,23,23,23,23,17,10,13,9,9,9,9,9,7,0,0,3,24,23,23,23,23,23,23,23,
8,0,0,0,3,9,23,23,23,23,23,23,17,10,13,9,9,9,9,9,7,0,0,3,23,23,23,23,23,23,23,23,
7,0,5,5,4,23,23,23,9,9,9,9,17,10,13,9,9,9,9,9,9,6,0,23,23,23,23,23,23,23,23,23,
6,9,9,23,24,23,9,9,9,9,9,9,17,10,13,9,9,9,9,9,9,23,5,23,23,23,23,23,23,23,23,23,
9,9,9,9,23,9,9,9,9,9,9,9,17,10,13,24,9,9,9,9,9,9,23,23,23,24,23,23,23,23,23,23,
9,9,9,9,9,9,9,9,9,18,11,12,17,10,13,9,9,9,9,9,24,23,23,23,23,23,23,23,23,23,23,23,
9,9,9,9,9,9,9,9,9,17,10,13,17,10,13,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,
9,9,9,9,9,9,9,9,18,22,10,19,22,10,13,9,9,9,9,9,9,23,23,23,23,23,23,23,23,23,23,23,
9,9,9,9,9,9,9,9,17,10,10,10,20,15,14,9,9,9,9,9,9,23,9,9,1,1,1,1,1,23,23,23,
9,24,9,9,8,2,9,9,16,21,10,10,13,9,9,9,9,9,9,9,23,7,0,0,0,0,0,0,0,2,23,23,
